asset,time,CapMVRVCur
btc,2024-06-16T00:00:00.000000000Z,2.181700780897
btc,2024-06-17T00:00:00.000000000Z,2.17600767278
btc,2024-06-18T00:00:00.000000000Z,2.131170120016
btc,2024-06-19T00:00:00.000000000Z,2.122527340691
btc,2024-06-20T00:00:00.000000000Z,2.122824344632
btc,2024-06-21T00:00:00.000000000Z,2.094841851078
btc,2024-06-22T00:00:00.000000000Z,2.094393635978
btc,2024-06-23T00:00:00.000000000Z,2.064629768046
btc,2024-06-24T00:00:00.000000000Z,1.965852605759
btc,2024-06-25T00:00:00.000000000Z,2.013824808421
btc,2024-06-26T00:00:00.000000000Z,1.983142815892
btc,2024-06-27T00:00:00.000000000Z,2.00449611147
btc,2024-06-28T00:00:00.000000000Z,1.963323618484
btc,2024-06-29T00:00:00.000000000Z,1.982090071071
btc,2024-06-30T00:00:00.000000000Z,2.04224535277
btc,2024-07-01T00:00:00.000000000Z,2.04314593286
btc,2024-07-02T00:00:00.000000000Z,2.017079157971
btc,2024-07-03T00:00:00.000000000Z,1.956495892684
btc,2024-07-04T00:00:00.000000000Z,1.867131113244
btc,2024-07-05T00:00:00.000000000Z,1.84216706331
btc,2024-07-06T00:00:00.000000000Z,1.891715119434
btc,2024-07-07T00:00:00.000000000Z,1.82212870475
btc,2024-07-08T00:00:00.000000000Z,1.84231499501
btc,2024-07-09T00:00:00.000000000Z,1.882826099963
btc,2024-07-10T00:00:00.000000000Z,1.873671456415
btc,2024-07-11T00:00:00.000000000Z,1.860391707754
btc,2024-07-12T00:00:00.000000000Z,1.877696697499
btc,2024-07-13T00:00:00.000000000Z,1.924461076714
btc,2024-07-14T00:00:00.000000000Z,1.978252221421
btc,2024-07-15T00:00:00.000000000Z,2.094337235781
btc,2024-07-16T00:00:00.000000000Z,2.10249498714
btc,2024-07-17T00:00:00.000000000Z,2.0722141993
btc,2024-07-18T00:00:00.000000000Z,2.063284607936
btc,2024-07-19T00:00:00.000000000Z,2.146794861585
btc,2024-07-20T00:00:00.000000000Z,2.159544550027
btc,2024-07-21T00:00:00.000000000Z,2.186185421436
btc,2024-07-22T00:00:00.000000000Z,2.167482354881
btc,2024-07-23T00:00:00.000000000Z,2.109594621683
btc,2024-07-24T00:00:00.000000000Z,2.091076478928
btc,2024-07-25T00:00:00.000000000Z,2.101052278672
btc,2024-07-26T00:00:00.000000000Z,2.167988897972
btc,2024-07-27T00:00:00.000000000Z,2.17149524018
btc,2024-07-28T00:00:00.000000000Z,2.173689504641
btc,2024-07-29T00:00:00.000000000Z,2.130351323441
btc,2024-07-30T00:00:00.000000000Z,2.10753663783
btc,2024-07-31T00:00:00.000000000Z,2.060104597961
btc,2024-08-01T00:00:00.000000000Z,2.073446664875
btc,2024-08-02T00:00:00.000000000Z,1.958129492294
btc,2024-08-03T00:00:00.000000000Z,1.931910948089
btc,2024-08-04T00:00:00.000000000Z,1.85658107668
btc,2024-08-05T00:00:00.000000000Z,1.734614783702
btc,2024-08-06T00:00:00.000000000Z,1.790105908673
btc,2024-08-07T00:00:00.000000000Z,1.76102665944
btc,2024-08-08T00:00:00.000000000Z,1.974027468759
btc,2024-08-09T00:00:00.000000000Z,1.934847151042
btc,2024-08-10T00:00:00.000000000Z,1.937094140148
btc,2024-08-11T00:00:00.000000000Z,1.872742222889
btc,2024-08-12T00:00:00.000000000Z,1.890144044639
btc,2024-08-13T00:00:00.000000000Z,1.926417221684
btc,2024-08-14T00:00:00.000000000Z,1.87350048326
btc,2024-08-15T00:00:00.000000000Z,1.835793831991
btc,2024-08-16T00:00:00.000000000Z,1.876508258409
btc,2024-08-17T00:00:00.000000000Z,1.891903199321
btc,2024-08-18T00:00:00.000000000Z,1.871999609436
btc,2024-08-19T00:00:00.000000000Z,1.891279440638
btc,2024-08-20T00:00:00.000000000Z,1.882426600371
btc,2024-08-21T00:00:00.000000000Z,1.945233846186
btc,2024-08-22T00:00:00.000000000Z,1.921170694846
btc,2024-08-23T00:00:00.000000000Z,2.035903975825
btc,2024-08-24T00:00:00.000000000Z,2.032046751517
btc,2024-08-25T00:00:00.000000000Z,2.046583028581
btc,2024-08-26T00:00:00.000000000Z,1.998001382993
btc,2024-08-27T00:00:00.000000000Z,1.891971799295
btc,2024-08-28T00:00:00.000000000Z,1.875827072948
btc,2024-08-29T00:00:00.000000000Z,1.883349152914
btc,2024-08-30T00:00:00.000000000Z,1.876982694923
btc,2024-08-31T00:00:00.000000000Z,1.87073697854
btc,2024-09-01T00:00:00.000000000Z,1.820019010688
btc,2024-09-02T00:00:00.000000000Z,1.877143284457
btc,2024-09-03T00:00:00.000000000Z,1.829729699885
btc,2024-09-04T00:00:00.000000000Z,1.841861370616
btc,2024-09-05T00:00:00.000000000Z,1.781930708989
btc,2024-09-06T00:00:00.000000000Z,1.710811543806
btc,2024-09-07T00:00:00.000000000Z,1.718206634267
btc,2024-09-08T00:00:00.000000000Z,1.743469313486
btc,2024-09-09T00:00:00.000000000Z,1.814072811646
btc,2024-09-10T00:00:00.000000000Z,1.830850569033
btc,2024-09-11T00:00:00.000000000Z,1.822802476165
btc,2024-09-12T00:00:00.000000000Z,1.844923692611
btc,2024-09-13T00:00:00.000000000Z,1.918166417135
btc,2024-09-14T00:00:00.000000000Z,1.901061522523
btc,2024-09-15T00:00:00.000000000Z,1.873189573393
btc,2024-09-16T00:00:00.000000000Z,1.844209085413
btc,2024-09-17T00:00:00.000000000Z,1.906555569386
btc,2024-09-18T00:00:00.000000000Z,1.938486988135
btc,2024-09-19T00:00:00.000000000Z,1.989407371018
btc,2024-09-20T00:00:00.000000000Z,1.991251479392
btc,2024-09-21T00:00:00.000000000Z,1.997224680189
btc,2024-09-22T00:00:00.000000000Z,2.00309504051
btc,2024-09-23T00:00:00.000000000Z,1.993210662996
btc,2024-09-24T00:00:00.000000000Z,2.02322807255
btc,2024-09-25T00:00:00.000000000Z,1.980828516174
btc,2024-09-26T00:00:00.000000000Z,2.040909822528
btc,2024-09-27T00:00:00.000000000Z,2.061133588941
btc,2024-09-28T00:00:00.000000000Z,2.059734897491
btc,2024-09-29T00:00:00.000000000Z,2.054377793402
btc,2024-09-30T00:00:00.000000000Z,1.980655974681
btc,2024-10-01T00:00:00.000000000Z,1.906306811115
btc,2024-10-02T00:00:00.000000000Z,1.901135632078
btc,2024-10-03T00:00:00.000000000Z,1.903667765594
btc,2024-10-04T00:00:00.000000000Z,1.942653036999
btc,2024-10-05T00:00:00.000000000Z,1.941600018448
btc,2024-10-06T00:00:00.000000000Z,1.964736190677
btc,2024-10-07T00:00:00.000000000Z,1.952455630153
btc,2024-10-08T00:00:00.000000000Z,1.926780183281
btc,2024-10-09T00:00:00.000000000Z,1.880158282942
btc,2024-10-10T00:00:00.000000000Z,1.868650690361
btc,2024-10-11T00:00:00.000000000Z,1.931911669891
btc,2024-10-12T00:00:00.000000000Z,1.953970337674
btc,2024-10-13T00:00:00.000000000Z,1.939547429605
btc,2024-10-14T00:00:00.000000000Z,2.039522213226
btc,2024-10-15T00:00:00.000000000Z,2.060181206339
btc,2024-10-16T00:00:00.000000000Z,2.079852586869
btc,2024-10-17T00:00:00.000000000Z,2.067823405287
btc,2024-10-18T00:00:00.000000000Z,2.097751626956
btc,2024-10-19T00:00:00.000000000Z,2.095293659588
